id,nom,top,maitre,nat,nat1,title,sexe,mort,auction,auction1,start_year,img,total_amount,media1,surface,date,datesiecle,date20
300,MUNCH Edvard,1,0,Norway,Europe,Le cri / the scream,1,1,soth,New-York,2012,271.jpg,107000000,A,D,1895,19th,none
1,PICASSO Pablo,2,4,Spain,Europe,Nu au plateau de sculpteur,1,1,chris,New-York,2010,1.jpg,95000000,A,D,1932,20th,1930
2,GIACOMETTI Alberto,3,2,Switzerland,Europe,L'Homme qui marche I,1,1,soth,Londres,2010,2.jpg,92521600,B,D,1960,20th,1960
3,ROTHKO Mark,4,0,USA,Etats-Unis,"Orange, Red, Yellow ",1,1,chris,New-York,2012,272.jpg,77500000,A,D,1961,20th,1960
4,BACON Francis,5,1,Great Britain,Europe,Triptych,1,1,soth,New-York,2008,3.jpg,77000000,A,D,1976,20th,1970
5,MONET Claude,6,3,France,Europe,Le bassin aux nymphéas,1,1,chris,Londres,2008,4.jpg,71671400,A,D,1919,20th,1910
6,ROTHKO Mark,7,0,USA,Etats-Unis,No. 1 (Royal Red And Blue),1,1,soth,New-York,2012,273.jpg,67000000,A,D,1954,20th,1950
7,MODIGLIANI Amedeo,8,0,Italy,Europe,Nu assis sur un divan - la belle romaine,1,1,soth,New-York,2010,5.jpg,61500000,A,D,1917,20th,1910
8,QI Baishi,9,0,China,Chine,Eagle Standing on Pine Tree; Four-Character,1,1,autres,Pékin,2011,6.jpg,57202000,A,D,1946,20th,1940
9,WARHOL Andy,10,6,USA,Etats-Unis,Men in her life,1,1,autres,New-York,2010,7.jpg,56500000,C,D,1962,20th,1960
10,STILL Clyfford,0,0,USA,Etats-Unis,1949-A-No . 1,1,1,soth,New-York,2011,8.jpg,55000000,A,D,1949,20th,1940
11,WANG Meng,0,0,China,Chine,Zhi Chuan moving to Mountain,1,1,autres,Pékin,2011,9.jpg,54040000,D,D,14e,14th,none
12,MALEVICH Kasimir Sevrinovitch,0,0,Ukraine,Europe,Suprematisch Composition,1,1,soth,New-York,2008,10.jpg,53500000,A,D,1916,20th,1910
13,GIACOMETTI Alberto,0,2,Switzerland,Europe,Grande tête mince,1,1,chris,New-York,2010,11.jpg,47500000,B,D,1954,20th,1950
14,MODIGLIANI Amedeo,0,0,Italy,Europe,Tête,1,1,chris,Paris,2010,12.jpg,46650450,B,D,1910-1912,20th,1910
15,BACON Francis,0,1,Great Britain,Europe,Untitled,1,1,chris,Londres,2008,13.jpg,46048250,A,D,1974-1977,20th,1970
16,PICASSO Pablo,0,4,Spain,Europe,Portrait d'Angel Fernandez de Soto,1,1,chris,Londres,2010,14.jpg,45814900,A,D,1903,20th,1900
17,ROTHKO Mark,0,0,USA,Etats-Unis,No.15,1,1,chris,New-York,2008,15.jpg,45000000,A,D,1952,20th,1950
18,WEN ZONG EMPEROR & FANG D.,0,0,China,Chine,Landscape,1,1,autres,Pékin,2010,16.jpg,44850000,D,D,14e,14th,none
19,MATISSE Henri,0,0,France,Europe,Nu de dos  4 état - Back IV,1,1,chris,New-York,2010,17.jpg,43500000,B,D,1930,20th,1930
20,RAPHAEL,0,0,Italy,Europe,Head of a Young Apostle,1,1,soth,Londres,2012,274.jpg,42675600,D,D,1519-1520,16th,none
21,RAPHAEL,0,0,Italy,Europe,Head of a muse,1,1,chris,Londres,2009,18.jpg,42354000,D,D,16e,16th,none
22,MATISSE Henri,0,0,France,Europe,Les coucous  tapis bleu et rose,1,1,chris,Paris,2009,19.jpg,40953600,A,D,1911,20th,1910
